artist,song
PNL,Chang
PNL,Deux frères
Paulo Londra,Tal Vez
Samra,Harami
BTS,Boy With Luv
BTS,Dionysus
BTS,HOME
BTS,Intro : Persona
BTS,Jamais Vu
BTS,Make It Right
BTS,Mikrokosmos
Capital Bra,Rolex
Danny Ocean,Swing
Ellie Goulding,Sixteen
Lil Uzi Vert,Sanguine Paradise
Lil Uzi Vert,That's a Rack
MEDUZA,Piece Of Your Heart
Rauw Alejandro,Que Le De
ScHoolboy Q,CHopstix
Sech,Que Mas Pues - Remix
Beyoncé,Before I Let Go - Homecoming Live Bonus Track
Daddy Yankee,Con Calma - Remix
Guaynaa,Rebota
Jonas Blue,What I Like About You
Kygo,Carry On
Lil Dicky,Earth
Polo G,Pop Out
SZA,Power is Power
Why Don't We,I Don't Belong In This Club
Alessia Cara,Out Of Love
DJ Snake,"Enzo (with Sheck Wes,"
DaBaby,Suge
Kina,Get You The Moon
Lauv,Drugs & The Internet
Lizzo,Juice
Lizzo,Truth Hurts
Marshmello,Light It Up
Martin Garrix,Summer Days
Offset,Clout
Ozuna,Baila Baila Baila - Remix
P!nk,Hurts 2B Human
ScHoolboy Q,Floating
Sech,Otro Trago
Stormzy,Vossi Bop
TWICE,FANCY
Taylor Swift,ME!
The Chainsmokers,Do You Mean
Ufo361,Next
Juju,Vermissen
KAROL G,Punto G
Lewis Capaldi,Hold Me While You Wait
Logic,Homicide
Luis Fonsi,Date La Vuelta
Shawn Mendes,If I Can't Have You
YG,Go Loko
Avicii,Tough Love
David Guetta,Stay (Don't Go Away)
Ed Sheeran,I Don't Care
James Arthur,Falling Like The Stars
Jax Jones,All Day And Night
Logic,COMMANDO
Logic,Icy
Shindy,Nautilus
ZAYN,"A Whole New World (End Title) - From ""Aladdin"
Chance the Rapper,GRoCERIES
DJ Khaled,Celebrate
DJ Khaled,Higher
DJ Khaled,Jealous
DJ Khaled,Just Us
DJ Khaled,Wish Wish
Duncan Laurence,Arcade
Halsey,Nightmare
Kontra K,Letzte Träne
Lana Del Rey,Doin' Time
Lewis Capaldi,Bruises
MAX,Love Me Less
Maluma,11 PM
OneRepublic,Rescue Me
Paulo Londra,Solo Pienso En Ti
Samra,Wieder Lila
Slipknot,Unsainted
Tyler,A BOY IS A GUN*
Tyler,ARE WE STILL FRIENDS?
Tyler,EARFQUAKE
Tyler,"GONE, GONE / THANK YOU"
Tyler,I DON'T LOVE YOU ANYMORE
Tyler,I THINK
Tyler,IGOR'S THEME
Tyler,NEW MAGIC WAND
Tyler,PUPPET
Tyler,RUNNING OUT OF TIME
Tyler,WHAT'S GOOD
Ufo361,Gib Gas
5 Seconds of Summer,Easier
Dalex,Cuaderno
Ed Sheeran,Cross Me
JHAYCO,No Me Conoce - Remix
Joyner Lucas,Isis
Kygo,Not Ok
Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo
Paulo Londra,Homerun
RIN,Vintage
Samra,Marlboro Rot
Young Thug,The London
Bad Bunny,Callaita
Cardi B,Press
Elton John,Rocket Man
Gucci Mane,Love Thru the Computer
Katy Perry,Never Really Over
Lil Tecca,Ransom
Luciano,La Haine
Mark Ronson,Find U Again
Mau y Ricky,La Boca
Miley Cyrus,D.R.E.A.M.
Miley Cyrus,Mother's Daughter
Miley Cyrus,Unholy
NF,The Search
NLE Choppa,Shotta Flow
ROSALÍA,Aute Cuture
The Chainsmokers,Call You Mine
Tiësto,Ritual
Tory Lanez,Broke Leg
Trippie Redd,Under Enemy Arms
Avicii,Bad Reputation
Avicii,Heart Upon My Sleeve
Avicii,Heaven
Avicii,Hold The Line
BTS,Dream Glow
Chris Brown,No Guidance
Farid Bang,Maghreb Gang
Fero47,NENENE
Gemitaiz,Veleno 7
Jonas Brothers,I Believe
Jonas Brothers,Only Human
Mabel,Mad Love
Naomi Scott,Speechless
Nekfeu,Tricheur
Ozuna,Amor Genuino
Ozuna,Te Soñé de Nuevo
R3HAB,All Around The World
Tyga,Haute
Ufo361,Irina Shayk
Alesso,Sad Song
Ali Gatie,It's You
BTS,A Brand New Day
Bazzi,Focus
Blanco Brown,The Git Up
DJ Snake,Loco Contigo
Drake,Money In The Grave
Drake,Omertà
Dreamville,Down Bad
Joji,Sanctuary
Kalazh44,Royal Rumble
Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC
Little Mix,Bounce Back
MERO,Olabilir
Summer Cem,Diamonds
Taylor Swift,You Need To Calm Down
Ashley O,On A Roll
BTS,All Night
Capital Bra,Tilidin
Dardan,weR mAChT PaRA 2
Lil Baby,Out The Mud
Lil Nas X,Panini
Lil Nas X,Rodeo
Mambo Kingz,Tú No Amas
Marshmello,One Thing Right
Nicki Minaj,MEGATRON
Sam Feldt,Post Malone
Sebastian Yatra,Runaway
Shawn Mendes,Señorita
Y2K,Lalala
Zara Larsson,All the Time
mgk,I Think I'm OKAY
BTS,Heartbeat
Chris Brown,Don't Check On Me
Daddy Yankee,Si Supieras
Ed Sheeran,Beautiful People
Ellie Goulding,Hate Me
J Balvin,COMO UN BEBÉ
J Balvin,CUIDAO POR AHÍ
J Balvin,LA CANCIÓN
J Balvin,MOJAITA
J Balvin,ODIO
J Balvin,QUE PRETENDES
J Balvin,UN PESO
J Balvin,YO LE LLEGO
Kygo,Higher Love
Mustard,Baguettes in the Face
NF,When I Grow Up
Ozuna,Cambio
Shirin David,ON OFF
Ufo361,Shot
Dimitri Vegas & Like Mike,Instagram
Dreamville,Costa Rica (with Bas & JID
Dreamville,Sunset (with J. Cole
Dreamville,Under The Sun (with J. Cole & Lute
Ed Sheeran,BLOW
Ed Sheeran,Best Part of Me
Jeremy Zucker,comethru
Lil Nas X,C7osure
Lizzo,Good as Hell
Loredana,Jetzt rufst du an
MACHETE,HO PAURA DI USCIRE 2 - prod. Mace
MACHETE,MARYLEAN
MACHETE,YOSHI
Post Malone,Goodbyes
ROSALÍA,Milionària
Beyoncé,"SPIRIT - From Disney's ""The Lion King"
David Guetta,Thing for You
Ed Sheeran,1000 Nights
Ed Sheeran,Antisocial
Ed Sheeran,Feels
Ed Sheeran,I Don't Want Your Money
Ed Sheeran,Nothing On You
Ed Sheeran,Put It All on Me
Ed Sheeran,Remember The Name
Ed Sheeran,South of the Border
Ed Sheeran,Take Me Back to London
Ed Sheeran,Way To Break My Heart
Ed Sheeran & Justin Bieber,I Don't Care
Jax Jones,Harder
Lil Nas X,Old Town Road - Remix
NF,Time - Edit
Paulo Londra,Por Eso Vine
Reynmen,Ela
Samra,Zombie
Shindy,Raffaello
The Police,Every Breath You Take
Anuel AA,China
Bazzi,I.F.L.Y.
Beyoncé,MOOD 4 EVA
Blue Ivy,BROWN SKIN GIRL
Guaynaa,Rebota - Remix
KC Rebell,Neptun
NAV,Tap
Norm Ender,Mekanın Sahibi
Quality Control,Baby
Sam Smith,How Do You Sleep?
Taylor Swift,The Archer
Tones And I,Dance Monkey
XXXTENTACION,Royalty
Chance the Rapper,All Day Long
Chance the Rapper,Do You Remember
Chance the Rapper,Hot Shower
Cordae,RNP
DJ Snake,"Fuego (with Sean Paul & Anitta,"
Dayvi,Baila Conmigo
Mau y Ricky,La Boca - Remix
NF,Leave Me Alone
Residente,Bellacoso
Rick Ross,Gold Roses
Sech,Otro Trago - Remix
The Chainsmokers,Takeaway
Ufo361,Nummer
Ariana Grande,boyfriend
Drake,Dreams Money Can Buy
Drake,How Bout Now
Drake,The Motion
Drake,Trust Issues
Lauv,"fuck, i'm lonely"
Lil Tecca,Love Me
Loredana,Eiskalt
Myke Towers,Si Se Da - Remix
Nicky Jam,Atrévete
Bazzi,No Way!
Camilo,Tutu
Duki,Goteo
Katy Perry,Small Talk
Labrinth,All For Us - from the HBO Original Series Euphoria
Megan Thee Stallion,Hot Girl Summer
Saweetie,My Type
Trippie Redd,!
Trippie Redd,Mac 10
Trippie Redd,Snake Skin
WOS,CANGURO
Bizarrap,"Nicki Nicole: Bzrp Music Sessions, Vol. 13"
Jorja Smith,Be Honest
Lil Tecca,Did It Again
Lil Tecca,Ransom (with Juice WRLD) - Remix
Miley Cyrus,Slide Away
Normani,Motivation
Quality Control,Baby (Lil Baby
ROSALÍA,"Yo x Ti, Tu x Mi"
Swae Lee,Won't Be Late
Taylor Swift,Lover
Young Thug,Bad Bad Bad
Young Thug,Hot
Young Thug,Surf
Young Thug,What's the Move
5 Seconds of Summer,Teeth
Apache 207,Roller
BROCKHAMPTON,NO HALO
BROCKHAMPTON,SUGAR
Capital Bra,Nummer 1
Charlie Puth,I Warned Myself
Lana Del Rey,Fuck it I love you
Tainy,Adicto
Taylor Swift,Afterglow
Taylor Swift,Cornelia Street
Taylor Swift,Cruel Summer
Taylor Swift,Daylight
Taylor Swift,Death By A Thousand Cuts
Taylor Swift,False God
Taylor Swift,I Forgot That You Existed
Taylor Swift,I Think He Knows
Taylor Swift,It’s Nice To Have A Friend
Taylor Swift,London Boy
Taylor Swift,Miss Americana & The Heartbreak Prince
Taylor Swift,Paper Rings
Taylor Swift,Soon You’ll Get Better
Taylor Swift,The Man
blackbear,hot girl bummer
A$AP Rocky,Babushka Boi
Big Sean,Bezerk
Dímelo Flow,"El Favor (with Nicky Jam & Sech,"
Lana Del Rey,California
Lana Del Rey,Cinnamon Girl
Lana Del Rey,Love song
Lana Del Rey,Norman fucking Rockwell
Lana Del Rey,The greatest
Lana Del Rey,Venice Bitch
Lil Tecca,Shots
Lil Tjay,F.N
Post Malone,Circles
RIN,UP IN SMOKE
benny blanco,Graduation
Camila Cabello,Liar
Camila Cabello,Shameless
Loredana,Kein Plan
Manuel Turizo,Te Quemaste
OneRepublic,Wanted
Post Malone,A Thousand Bad Times
Post Malone,Allergic
Post Malone,Die For Me
Post Malone,Enemies
Post Malone,Hollywood's Bleeding
Post Malone,I Know
Post Malone,I'm Gonna Be
Post Malone,Internet
Post Malone,Myself
Post Malone,On The Road
Post Malone,Saint-Tropez
Post Malone,Staring At The Sun
Post Malone,Take What You Want
Regard,Ride It
Reik,Indeciso
Samra,Huracan
YNW Melly,223's
A Boogie Wit da Hoodie,Mood Swings
Ariana Grande,Don’t Call Me Angel
Drake,Behind Barz - Bonus
Halsey,Graveyard
Justin Quiles,DJ No Pare
Lil Nas X,Panini - DaBaby Remix
Loredana,Genick
Major Lazer,Que Calor
NLE Choppa,Camelot
Apache 207,200 km/h
Bushido,Ronin
C. Tangana,No Te Debí Besar
Capital Bra,110
DaBaby,INTRO
Diplo,Heartless
Lauv,Feelings
Maroon 5,Memories
Noriel,Cuerpo en Venta
RAF Camora,Adriana
Rich Music LTD,Quizas
Summer Cem,Summer Cem
TWICE,Feel Special
24kGoldn,VALENTINO
DaBaby,BOP
DaBaby,RAW SHIT
DaBaby,TOES
DaBaby,VIBEZ
Diplo,Lonely
French Montana,Writing on the Wall
Lil Mosey,Stuck In A Dream
Maluma,Qué Pena
RIN,Fabergé
Rauw Alejandro,Fantasias
Sech,Si Te Vas
Sido,2002
The Cratez,Honda Civic
Zedd,Good Thing
j-hope,Chicken Noodle Soup
Camila Cabello,Cry for Me
Capital Bra,Berlin lebt wie nie zuvor
Dan + Shay,"10,000 Hours"
Dermot Kennedy,Outnumbered
Gambi,POPOPOP
Juice WRLD,Bandit
Murda,AYA
Mustard,Ballin'
Niall Horan,Nice To Meet Ya
Summer Walker,Come Thru
Summer Walker,Playing Games (with Bryson Tiller) - Extended Version
SuperM,Jopping
Travis Scott,HIGHEST IN THE ROOM
Black Eyed Peas,RITMO
Camila Cabello,Easy
Dalex,Bellaquita
Harry Styles,Lights Up
RAF Camora,Puta Madre - Bonustrack
TINI,Oye
Tame Impala,The Less I Know The Better
Ufo361,Wir sind Kral
Why Don't We,What Am I
YoungBoy Never Broke Again,Make No Sense
Apache 207,Wieso tust Du dir das an?
Daddy Yankee,Que Tire Pa Lante
Dadá Boladão,Surtada - Remix Brega Funk
Frank Ocean,DHL
G-Eazy,I Wanna Rock
Internet Money,Somebody
Katy Perry,Harleys In Hawaii
MEDUZA,Lose Control
RIN,Keine Liebe
Selena Gomez,Lose You To Love Me
Apache 207,Doch in der Nacht
Arizona Zervas,ROXANNE
Coldplay,Orphans
Kanye West,Closed On Sunday
Kanye West,Every Hour
Kanye West,Everything We Need
Kanye West,Follow God
Kanye West,God Is
Kanye West,Hands On
Kanye West,Jesus Is Lord
Kanye West,On God
Kanye West,Selah
Kanye West,Use This Gospel
Kanye West,Water
Lunay,Aventura
Major Lazer,Trigger
Noah Cyrus,July
Omar Montes,Alocao
Selena Gomez,Look At Her Now
Tyga,MAMACITA
21 Savage,Immortal
Ariana Grande,Bad To You
Dua Lipa,Don't Start Now
Frank Ocean,In My Room
Marracash,SUPREME - L'ego
Martin Garrix,Used To Love
Nicky Jam,Whine Up
Nimo,KARMA
Trippie Redd,Love Me More
Young Thug,Hot (Remix)
Ant Saunders,Yellow Hearts
Billie Eilish,everything i wanted
Doja Cat,Candy
Doja Cat,Juicy
JP Saxe,If the World Was Ending
KAROL G,Tusa
Kina,Can We Kiss Forever?
Lil Baby,Woah
Ozuna,Hasta Que Salga el Sol
Piso 21,Pa' Olvidarme De Ella
Riton,Turn Me On
The Chainsmokers,Push My Luck
True Damage,GIANTS
thasup,blun7 a swishland
A Boogie Wit da Hoodie,Reply
Bryant Myers,Gan-Ga - Remix
Camila Cabello,Living Proof
Dalex,Hola - Remix
Harry Styles,Watermelon Sugar
J Balvin,Blanco
Khalid,Up All Night
Lauv,Mean It
Marshmello,Tongue Tied
Taylor Swift,Lover (Remix)
Tory Lanez,Jerry Sprunger
Trevor Daniel,Falling
Tyga,Ayy Macarena
thasup,fuck 3x
Anitta,Combatchy
Bad Bunny,Vete
Dalex,Bellaquita - Remix
Idina Menzel,Into the Unknown
KSI,Down Like That
Lewis Capaldi,Before You Go
PARTYNEXTDOOR,LOYAL
Stormzy,Own It
The Weeknd,Heartless
Trippie Redd,6 Kiss
Trippie Redd,Death
Trippie Redd,Who Needs Love
XXXTENTACION,bad vibes forever
Capital Bra,Der Bratan bleibt der gleiche
Chris Rea,Driving Home for Christmas - 2019 Remaster
Don Toliver,No Idea
Gradur,Ne reviens pas
Idina Menzel,Show Yourself
Ozuna,Fantasía
Panic! At The Disco,Into the Unknown - Panic! At The Disco Version
Roddy Ricch,Tip Toe
The Weeknd,Blinding Lights
Camila Cabello,My Oh My
Halsey,SUGA's Interlude
Harry Styles,Adore You
Nimo,KEIN SCHLAF
Roddy Ricch,Peta
Roddy Ricch,Start Wit Me
Samra,COLT
Taylor Swift,Christmas Tree Farm
The Chainsmokers,Family
XXXTENTACION,Ex Bitch
Harry Styles,Canyon Moon
Harry Styles,Cherry
Harry Styles,Falling
Harry Styles,Fine Line
Harry Styles,Golden
Harry Styles,She
Harry Styles,"Sunflower, Vol. 6"
Harry Styles,To Be So Lonely
Harry Styles,Treat People With Kindness
Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019
Jonas Brothers,Like It's Christmas
Juice WRLD,Let Me Know
Lil Uzi Vert,Futsal Shuffle 2020
Roddy Ricch,The Box
SAINt JHN,Roses
Alessia Cara,Make It To Christmas
Arcángel,Sigues Con El
Ariana Grande,Last Christmas
Bing Crosby,It's Beginning To Look Like Christmas
Céline Dion,Happy Xmas
Donny Hathaway,This Christmas
Ella Fitzgerald,Sleigh Ride
Katy Perry,Cozy Little Christmas
Liam Payne,All I Want
Red Velvet,Psycho
Train,Shake Up Christmas
YNW Melly,Suicidal
Young Thug,Hop Off A Jet
Alan Walker,"Alone, Pt. II"
Conan Gray,Maniac
Doja Cat,Say So
Don Toliver,Had Enough
JACKBOYS,GANG GANG
JACKBOYS,GATTI
JACKBOYS,JACKBOYS
JACKBOYS,OUT WEST
JACKBOYS,WHAT TO DO?
Jorge & Mateus,Cheirosa - Ao Vivo
PEDRO SAMPAIO,SENTADÃO
Rich Music LTD,Perreo en La Luna
Tones And I,Never Seen the Rain
Arcángel,Infeliz
Arizona Zervas,FML
Gusttavo Lima,A Gente Fez Amor - Ao Vivo
Justin Bieber,Yummy
Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series"
TOKYO’S REVENGE,GOODMORNINGTOKYO!
Future,Life Is Good
Halsey,You should be sad
J Balvin,Morado
Khalid,Eleven
Lil Baby,Sum 2 Prove
Mac Miller,Good News
Megan Thee Stallion,Diamonds
Nicky Jam,Muévelo
Roddy Ricch,High Fashion
Selena Gomez,A Sweeter Place
Selena Gomez,Crowded Room
Selena Gomez,Cut You Off
Selena Gomez,Dance Again
Selena Gomez,Kinda Crazy
Selena Gomez,Let Me Get Me
Selena Gomez,People You Know
Selena Gomez,Rare
Selena Gomez,Ring
Selena Gomez,Vulnerable
BTS,Black Swan
Eminem,Alfred - Interlude
Eminem,Darkness
Eminem,Farewell
Eminem,Godzilla
Eminem,I Will
Eminem,In Too Deep
Eminem,Leaving Heaven
Eminem,Little Engine
Eminem,Lock It Up
Eminem,Marsh
Eminem,Never Love Again
Eminem,No Regrets
Eminem,Premonition - Intro
Eminem,Stepdad
Eminem,Those Kinda Nights
Eminem,Unaccommodating
Eminem,Yah Yah
Eminem,You Gon’ Learn
Gambi,Dans l'espace
Halsey,Still Learning
Jonas Brothers,What A Man Gotta Do
Juju,Kein Wort
Mac Miller,Blue World
Mac Miller,Circles
Mac Miller,Complicated
Mac Miller,Everybody
Mac Miller,Hand Me Downs
Mac Miller,Hands
Mac Miller,I Can See
Mac Miller,Once A Day
Mac Miller,Surf
Mac Miller,That's On Me
Mac Miller,Woods
Maes,Blanche
Matthew Wilder,Break My Stride
Shakira,Me Gusta
Surfaces,Sunday Best
Thiaguinho MT,Tudo Ok
Ufo361,Big Drip
blackbear,me & ur ghost
Ali Gatie,What If I Told You That I Love You
Gzuz,Donuts
Kygo,Forever Yours - Avicii Tribute
Megan Thee Stallion,B.I.T.C.H.
Murda,Bi Sonraki Hayatımda Gel
Samra,Zu Ende
A Boogie Wit da Hoodie,King Of My City
Demi Lovato,Anyone
Dua Lipa,Physical
Jack Harlow,WHATS POPPIN
Joker Bra,Baby
Justin Bieber,Get Me
KSI,Wake Up Call
Lil Wayne,I Do It
Myke Towers,Girl
Samra,Mon Ami
Shakira,Hips Don't Lie
Taylor Swift,Only The Young - Featured in Miss Americana
5 Seconds of Summer,No Shame
Anne-Marie,Birthday
Anuel AA,Keii
Daddy Yankee,Definitivamente
G-Eazy,Still Be Friends
JHAYCO,Medusa
Joji,Run
Justin Bieber,Intentions
Khalid,Know Your Worth
Lil Mosey,Blueberry Faygo
Niall Horan,No Judgement
Nicki Minaj,Yikes
Samra,Weiss
Tory Lanez,Broke In A Minute
A Boogie Wit da Hoodie,Might Not Give Up
A Boogie Wit da Hoodie,Numbers
Bad Bunny,Ignorantes
Billie Eilish,No Time To Die
Justin Bieber,All Around Me
Justin Bieber,At Least For Now
Justin Bieber,Available
Justin Bieber,Changes
Justin Bieber,Come Around Me
Justin Bieber,Confirmation
Justin Bieber,E.T.A.
Justin Bieber,Forever
Justin Bieber,Habitual
Justin Bieber,Running Over
Justin Bieber,Second Emotion
Justin Bieber,Take It Out On Me
Justin Bieber,That's What Love Is
Luciano,Mios mit Bars
Migos,Give No Fxk
Myke Towers,Diosa
Polo G,Go Stupid
Powfu,death bed
Sam Smith,To Die For
Tame Impala,Borderline
Tame Impala,Breathe Deeper
Tame Impala,Lost In Yesterday
Tame Impala,One More Year
The Weeknd,After Hours
24kGoldn,CITY OF ANGELS
5 Seconds of Summer,Old Me
Ashe,Moral of the Story
BTS,00:00
BTS,Filter
BTS,Friends
BTS,Inner Child
BTS,Interlude : Shadow
BTS,Louder than bombs
BTS,Moon
BTS,My Time
BTS,ON
BTS,Outro : Ego
BTS,Respect
BTS,UGH!
BTS,We are Bulletproof : the Eternal
Dalex,Mejor
K CAMP,Lottery
Lauv,Modern Loneliness
Pop Smoke,Dior
Rauw Alejandro,Tattoo
Selena Gomez,Feel Me
Ufo361,Rich Rich
Apache 207,Matrix
Bad Bunny,25/8
Bad Bunny,<3
Bad Bunny,A Tu Merced
Bad Bunny,Bichiyal
Bad Bunny,Está Cabrón Ser Yo
Bad Bunny,Hablamos Mañana
Bad Bunny,La Difícil
Bad Bunny,La Santa
Bad Bunny,La Zona
Bad Bunny,P FKN R
Bad Bunny,Pero Ya No
Bad Bunny,Puesto Pa' Guerrial
Bad Bunny,Que Malo
Bad Bunny,Safaera
Bad Bunny,Si Veo a Tu Mamá
Bad Bunny,Soliá
Bad Bunny,Una Vez
Bad Bunny,Yo Perreo Sola
Capital Bra,100k Cash
Doja Cat,Boss Bitch
G Herbo,PTSD
J Balvin,Rojo
Lady Gaga,Stupid Love
Lil Baby,Commercial
Lil Baby,Heatin Up
Lil Baby,Live Off My Closet
Lil Uzi Vert,That Way
Martin Garrix,Drown
Residente,René
SZA,The Other Side
BENEE,Supalonely
Bazzi,Young & Alive
Christian Nodal,Se Me Olvidó
Demi Lovato,I Love Me
Gunna,SKYBOX
Jhené Aiko,B.S.
Lauv,Who
Lil Uzi Vert,Baby Pluto
Lil Uzi Vert,Bigger Than Life
Lil Uzi Vert,Bust Me
Lil Uzi Vert,Celebration Station
Lil Uzi Vert,Chrome Heart Tags
Lil Uzi Vert,Futsal Shuffle 2020 - Bonus Track
Lil Uzi Vert,Homecoming
Lil Uzi Vert,I'm Sorry
Lil Uzi Vert,Lo Mein
Lil Uzi Vert,P2
Lil Uzi Vert,POP
Lil Uzi Vert,Prices
Lil Uzi Vert,Secure The Bag
Lil Uzi Vert,Silly Watch
Lil Uzi Vert,That Way - Bonus Track
Lil Uzi Vert,Urgency
Lil Uzi Vert,Venetia
Lil Uzi Vert,You Better Move
Loredana,Angst
Ninho,Lettre à une femme
Alex Rose,Jangueo
Doja Cat,Like That
Don Toliver,Cardigan
DripReport,Skechers
ITZY,WANNABE
Lil Uzi Vert,Bean (Kobe)
Lil Uzi Vert,Got The Guap
Lil Uzi Vert,I Can Show You
Lil Uzi Vert,Leaders
Lil Uzi Vert,Lotus
Lil Uzi Vert,Moon Relate
Lil Uzi Vert,Myron
Lil Uzi Vert,Strawberry Peels
Lil Uzi Vert,Trap This Way
Lil Uzi Vert,Wassup
Lil Uzi Vert,Yessirskiii
Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby
Niall Horan,Black And White
PUBLIC,Make You Mine
Rauw Alejandro,Fantasias - Remix
Robin Schulz,In Your Eyes
Tones And I,Bad Child
Ufo361,"Bad Girls, Good Vibes"
Dardan,H <3 T E L
J Balvin,Amarillo
J Balvin,Arcoíris
J Balvin,Azul
J Balvin,Gris
J Balvin,Negro
J Balvin,Rosa
J Balvin,Verde
Megan Thee Stallion,Savage
NLE Choppa,Walk Em Down
The Weeknd,Alone Again
The Weeknd,Escape From LA
The Weeknd,Faith
The Weeknd,Hardest To Love
The Weeknd,In Your Eyes
The Weeknd,Repeat After Me
The Weeknd,Save Your Tears
The Weeknd,Scared To Live
The Weeknd,Snowchild
The Weeknd,Too Late
The Weeknd,Until I Bleed Out
Topic,Breaking Me
Tory Lanez,The Take
5 Seconds of Summer,Wildflower
Ava Max,Kings & Queens
Ava Max,Salt
Dua Lipa,Boys Will Be Boys
Dua Lipa,Break My Heart
Dua Lipa,Cool
Dua Lipa,Future Nostalgia
Dua Lipa,Good In Bed
Dua Lipa,Hallucinate
Dua Lipa,Levitating
Dua Lipa,Love Again
Dua Lipa,Pretty Please
Kygo,Like It Is
Little Mix,Break Up Song
Luísa Sonza,BRABA
NAV,Turks
PARTYNEXTDOOR,BELIEVE IT
Shiva,Auto Blu
Sub Urban,Cradles
Surf Mesa,ily
Ufo361,Allein sein
Zuna,Du bist mein
Camilo,Favorito
DaBaby,FIND MY WAY
Drake,Toosie Slide
Feid,PORFA
KAROL G,Follow
Kygo,I'll Wait
Lunay,La Cama
Madison Beer,Selfish
Rauw Alejandro,Elegí
Rod Wave,Heart On Ice
Vicetone,Astronomia
Arcángel,Sigues Con El - Remix
Bonez MC,Shotz Fired
Camilo,Por Primera Vez
Samra,BaeBae
Sech,Relación
Selena Gomez,Boyfriend
Tory Lanez,Stupid Again
Twenty One Pilots,Level of Concern
Black Eyed Peas,MAMACITA
DaBaby,BLAME IT ON BABY
DaBaby,JUMP
DaBaby,LIGHTSKIN SH*T
DaBaby,PICK UP
DaBaby,ROCKSTAR
Don Toliver,After Party
Joji,Gimme Love
Kygo,Freedom
Playboi Carti,@ MEH
Rvssian,No Me Ame
Sam Fischer,This City
Sam Smith,I’m Ready
Juice WRLD,Righteous
KSI,Houdini
Lil Uzi Vert,Sasuke
Megan Thee Stallion,Savage Remix
Melanie Martinez,Play Date
Shirin David,90-60-111
THE SCOTTS,THE SCOTTS
The 1975,If You’re Too Shy (Let Me Know) - Edit
Ufo361,Emotions
Banda MS de Sergio Lizárraga,Qué Maldición
Capital Bra,Nicht verdient
Drake,Chicago Freestyle
Drake,Deep Pockets
Drake,Demons
Drake,Desires
Drake,From Florida With Love
Drake,Landed
Drake,Losses
Drake,Not You Too
Drake,Pain 1993
Drake,Time Flies
Drake,War
Drake,When To Say When
Future,D4L
IU,eight
Marshmello,Be Kind
StaySolidRocky,Party Girl
6ix9ine,GOOBA
Apache 207,Fame
Ariana Grande,Stuck with U
Bad Bunny,BAD CON NICKY
Bad Bunny,BENDICIONES
Bad Bunny,BYE ME FUI
Bad Bunny,EN CASITA
Bad Bunny,MÁS DE UNA CITA
Bad Bunny,PA' ROMPERLA
Bad Bunny,RONCA FREESTYLE
Bad Bunny,SI ELLA SALE
JHAYCO,CÓMO SE SIENTE - Remix
Kehlani,Can I
Lil Tjay,Zoo York
Natalie Taylor,Surrender
Rauw Alejandro,El Efecto
Rauw Alejandro,El Efecto - Remix
Yandel,CANCIÓN CON YANDEL
Future,All Bad
Future,Solitaires
Future,Trillionaire
Jonas Brothers,X
Justin Quiles,PAM
Katy Perry,Daisies
Kygo,Lose Somebody
Migos,Racks 2 Skinny
Nio Garcia,La Jeepeta - Remix
Pashanim,Airwaves
Polo G,Be Something
Polo G,Flex
S1mba,Rover
Sleepy Hallow,Deep End Freestyle
Trippie Redd,Excitement
Agust D,Daechwita
Alexander 23,IDK You Yet
Bonez MC,Roadrunner
Capital Bra,Komm Komm
Chris Brown,Go Crazy
Gunna,COOLER THAN A BITCH
Gunna,DOLLAZ ON MY HEAD
Gunna,TOP FLOOR
Gunna,WUNNA
Lady Gaga,Rain On Me
Lady Gaga,Sour Candy
Sech,Confía
Sia,Together
The Weeknd,In Your Eyes (with Doja Cat) - Remix
jxdn,ANGELS & DEMONS
AK AUSSERKONTROLLE,In meinem Benz
Anuel AA,Fútbol & Rumba
Anuel AA,Hasta Que Dios Diga
Anuel AA,Jangueo
Anuel AA,Reggaetonera
Juice WRLD,Tell Me U Luv Me
KALIM,SKRR
KC Rebell,FLY
Kygo,Broken Glass
Lady Gaga,1000 Doves
Lady Gaga,911
Lady Gaga,Alice
Lady Gaga,Babylon
Lady Gaga,Chromatica I
Lady Gaga,Chromatica II
Lady Gaga,Free Woman
Lady Gaga,Fun Tonight
Lady Gaga,Plastic Doll
Lady Gaga,Replay
Lady Gaga,Sine From Above
Lady Gaga,eNIGMA
Lil Yachty,Oprah's Bank Account (Lil Yachty & DaBaby
Lil Yachty,T.D (Lil Yachty & Tierra Whack
Niack,Na Raba Toma Tapão
ROSALÍA,TKN
Regard,Secrets
TWICE,MORE & MORE
Apache 207,Boot
Harry Nach,Tak Tiki Tak
KC Rebell,VALLA NEIN
XXXTENTACION,Riot
6ix9ine,TROLLZ
Bosh,Djomb - Bien ou quoi
Conkarah,Banana
Jawsh 685,Savage Love
Lil Baby,Emotionally Scarred
Lil Baby,The Bigger Picture
NLE Choppa,Shotta Flow 5
Nea,Some Say - Felix Jaehn Remix
Ozuna,Caramelo
Pop Smoke,Make It Rain
