mb_recording_id,error,ab_bpm,ab_length,ab_rhythm_level,ab_tonal_confidence,ab_tempo_confidence,ab_danceability_value,ab_danceability_prob,ab_gender_value,ab_gender_prob,ab_genre_dortmund_value,ab_genre_dortmund_prob,ab_genre_electronic_value,ab_genre_electronic_prob,ab_genre_rosamerica_value,ab_genre_rosamerica_prob,ab_genre_tzanetakis_value,ab_genre_tzanetakis_prob,ab_ismir04_rhythm_value,ab_ismir04_rhythm_prob,ab_mood_acoustic_value,ab_mood_acoustic_prob,ab_mood_aggressive_value,ab_mood_aggressive_prob,ab_mood_electronic_value,ab_mood_electronic_prob,ab_mood_happy_value,ab_mood_happy_prob,ab_mood_party_value,ab_mood_party_prob,ab_mood_relaxed_value,ab_mood_relaxed_prob,ab_mood_sad_value,ab_mood_sad_prob,ab_moods_mirex_value,ab_moods_mirex_prob,ab_timbre_value,ab_timbre_prob,ab_tonal_atonal_value,ab_tonal_atonal_prob,ab_voice_instrumental_value,ab_voice_instrumental_prob
bfbe4297-9648-4bb5-ba58-651f0a3f6934,,,,,,,not_danceable,1.0,male,0.808601677418,electronic,0.999975860119,trance,0.396062940359,rhy,0.497817903757,jaz,0.191797018051,Tango,0.337712973356,not_acoustic,0.997478783131,not_aggressive,1.0,electronic,0.967320680618,not_happy,0.856278419495,not_party,0.999985158443,relaxed,0.808817088604,not_sad,0.606823265553,Cluster3,0.478370696306,dark,0.992816269398,atonal,0.99999755621,voice,0.98503357172
4c5c512a-3d2c-424d-87ed-94a06d58e712,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd1ff082-61c4-4f71-bc8d-ae4f183883a9,,,,,,,danceable,0.994804859161,female,0.573670864105,electronic,0.997316241264,ambient,0.494880884886,rhy,0.627837777138,jaz,0.313974827528,Tango,0.445297718048,not_acoustic,0.600992739201,not_aggressive,0.940950274467,electronic,0.835554599762,not_happy,0.614981293678,not_party,0.650381088257,relaxed,0.854730188847,not_sad,0.646431446075,Cluster3,0.304436773062,dark,0.967037379742,atonal,0.983330845833,voice,0.996993362904
76fb1851-6285-4e46-9f87-744cdc9e1811,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e63ffb76-2686-4fad-9016-3069681fa916,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404e7fc0-26ab-496e-a449-fd1e2980e622,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc86bba6-9d6a-44bd-a099-c19c5691db7f,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e7afe40-ed30-4014-bb02-2bea333fbd60,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64b64761-8dc7-4a8c-9f6a-7ba02fd9f2a5,,,,,,,danceable,0.994161009789,female,0.999387979507,electronic,0.901142954826,house,0.566832065582,pop,0.670170962811,jaz,0.313974827528,ChaChaCha,0.950646102428,not_acoustic,0.795323967934,not_aggressive,0.823506176472,electronic,0.835188388824,not_happy,0.710560321808,party,0.811593472958,relaxed,0.811752796173,not_sad,0.587740063667,Cluster2,0.404244095087,bright,0.693498075008,atonal,0.875964403152,instrumental,0.878687739372
14478180-ec7c-4166-8512-d56c189b0cce,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03d30223-455e-4106-b4d6-0d95ab30537c,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bbef687-4557-4b97-a1e8-e907fbf0d02b,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75cdfb0d-2c9c-4b98-a3bf-8c03ec062fe9,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90b98021-6ee4-4140-bfc7-49c0fe8c69c5,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f3619ce-a1ff-44fc-9938-629722558b18,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c5eadff-c86a-45e0-ba80-47ed21cc269d,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e39ec62-b61f-471c-9ff5-98318d6fd3f3,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f199bc-8b59-4269-8006-2fdda8569d99,,,,,,,not_danceable,0.641514420509,female,0.6181178689,electronic,0.972400307655,ambient,0.505232751369,rhy,0.428725332022,jaz,0.326865911484,Tango,0.882288992405,not_acoustic,0.630365312099,not_aggressive,0.97864729166,electronic,0.971146941185,not_happy,0.870320916176,not_party,0.798203587532,not_relaxed,0.511417508125,not_sad,0.550141274929,Cluster3,0.451150685549,bright,0.78104108572,atonal,0.646390259266,instrumental,0.611923158169
8b2c1566-2d84-45a7-a1e3-1fc8f2c564c1,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9171efa4-c31c-4072-a479-2af9875dc945,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dc11453-1bce-42d0-a7e3-0ce4d5c43da8,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de868033-cdf6-4303-9cdf-b52d9c396ef4,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1eabc24-e01f-41bd-a260-c254359b3ca0,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5773977c-7db6-4f34-b7d6-ba571acd72a7,,,,,,,danceable,0.99966943264,female,0.899081945419,electronic,0.785025537014,house,0.877472639084,rhy,0.724323034286,jaz,0.313987255096,ChaChaCha,0.935528099537,not_acoustic,0.950920343399,not_aggressive,0.982408583164,electronic,0.973950147629,not_happy,0.908486783504,party,0.832528531551,relaxed,0.974103569984,sad,0.634429216385,Cluster3,0.259132146835,bright,0.922103524208,atonal,0.988258779049,instrumental,0.623014390469
7f3aa0f7-16f1-45cb-9b5b-5c9506b47845,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a58b5a57-7809-4a61-935a-aa8e204fe3bb,,,,,,,danceable,0.737453639507,male,0.626255810261,folkcountry,0.484668850899,ambient,0.773789405823,rhy,0.50101262331,jaz,0.313974827528,ChaChaCha,0.594449818134,acoustic,0.640406906605,not_aggressive,0.995685875416,not_electronic,0.894140958786,happy,0.802367210388,not_party,0.777324974537,relaxed,0.929542064667,not_sad,0.688439130783,Cluster2,0.444272041321,bright,0.999999761581,tonal,0.972360551357,voice,0.922413051128
47b5a941-72bb-40c9-924a-9b34c8f51914,,,,,,,danceable,0.81934517622,male,0.876866996288,electronic,0.450064629316,ambient,0.754660069942,pop,0.654280304909,jaz,0.310666948557,ChaChaCha,0.936483621597,not_acoustic,0.601926088333,not_aggressive,0.964857637882,not_electronic,0.572119534016,not_happy,0.637149691582,not_party,0.508009552956,relaxed,0.802918076515,sad,0.614343464375,Cluster2,0.362455189228,bright,0.965530097485,tonal,0.940536499023,voice,0.738362014294
dc9b0beb-6c7f-4047-93ee-df8c9313fa45,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55f079bf-67ed-4f28-bc77-8a79138580ae,,,,,,,danceable,0.754839003086,male,0.794617533684,electronic,0.914000272751,ambient,0.538487553596,rhy,0.716698348522,jaz,0.313974827528,ChaChaCha,0.38574630022,acoustic,0.53020298481,not_aggressive,0.984687805176,electronic,0.573888659477,not_happy,0.54994738102,not_party,0.731581032276,relaxed,0.809210598469,sad,0.640302419662,Cluster2,0.417126208544,bright,0.99999588728,tonal,0.720177292824,voice,0.658656656742
c2b64876-72dc-45e8-9a33-c48be4f0deb9,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30ac9667-bc70-4541-a022-a3a881784ec2,,,,,,,danceable,0.998957574368,female,0.984669744968,electronic,0.978468775749,trance,0.459581136703,pop,0.817823529243,jaz,0.310666948557,ChaChaCha,0.281644642353,not_acoustic,0.949807226658,not_aggressive,1.0,electronic,0.642391860485,not_happy,0.559280872345,not_party,0.923776507378,relaxed,0.796440720558,not_sad,0.548874676228,Cluster3,0.373737156391,bright,0.99522292614,tonal,0.874760985374,instrumental,0.700414657593
